Quel âge avez-vous?;Quels outils utilisez-vous pour le wireframing?;Dans quel pays vivez-vous?;Quels outils utilisez-vous pour le design d'interface?;Quel métier pratiquez-vous dans le domaine du web ?;Quels outils utilisez-vous pour le prototypage?;Quels outils utilisez-vous pour le brainstorming?;Combien d'années d'expérience avez-vous?;Combien de designers travaillent dans votre organisation?;Quels outils utilisez-vous pour communiquer dans votre équipe?;Dans quel genre d'organisation travaillez-vous?;Quels CMS ou Frameworks de code utilisez-vous?;Quels outils utilisez-vous pour l'édition du code?;Quels outils utilisez-vous pour gérer des systèmes de design?;Quels outils utilisez-vous pour la gestion de versions et de fichiers?
40 à 49;Papier, Balsamiq;France;Affinity Designer;chef de projet, ergonome web;InVision;Affinity Designer;10 à 15;2 à 5;Slack;Agence web;Symfony, WordPress;Sublime Text, PHP Storm; ;Dropbox, Google Drive, Bitbucket
30 à 39;Papier, Balsamiq;Suisse;HTML / CSS, Photoshop;intégrateur web, webdesigner, responsable qualité;HTML / CSS, Marvel;Papier, Photoshop;10 à 15;2 à 5;Basecamp, Mattermost;ESN (Entreprise de services du numérique);WordPress, Base Sass fait-maison;Sublime Text;;Github, Source Control (Visual Studio)
30 à 39;Sketch;France;Illustrator;développeur web;Sketch;Papier;10 à 15;2 à 5;mattermost;Agence de communication;WordPress;Sublime Text;Sketch Libraries;Dropbox
20 à 29;inkscape;Belgique;HTML / CSS;graphiste web;HTML / CSS;etherpad;5 à 10;2 à 5;Irc;Collectif;Django, processwire;Vim;Gitlab Issues;Gitlab
30 à 39;Papier, HTML / CSS, Sketch;France;HTML / CSS, Photoshop;concepteur web, développeur web, intégrateur web;Axure, HTML / CSS, Sketch;Papier;10 à 15;2 à 5;;Service public;Bootstrap, Symfony, WordPress, Bolt;Atom, PHP Storm;;Github
30 à 39;Illustrator, Papier;France;Photoshop;webdesigner, chef de projet;HTML / CSS;Papier, Illustrator, Photoshop;1 à 5;Seulement moi;;Agence;WordPress;;;Dropbox, Google Drive
40 à 49;Sketch;France;Sketch;développeur web, intégrateur web;Sketch;Papier, Sketch;15 à 20;2 à 5;Hangout;Freelance;Symfony;Visual Studio Code;Sketch Libraries;Gitlab
40 à 49;Papier, Notability (ipad);France;Notability (ipad);développeur web, webdesigner;HTML / CSS;Notability (ipad);10 à 15;Seulement moi;Slack;Freelance;WordPress;Sublime Text; ;Github
20 à 29;HTML / CSS, Illustrator, Papier, Affinity Designer;France;Photoshop, HTML / CSS, Illustrator, Affinity Designer;graphiste web, UI designer;HTML / CSS;Papier, Illustrator, InDesign, Photoshop;5 à 10;Seulement moi;;Freelance; ;Visual Studio Code;;Bitbucket
30 à 39;Sketch;France;Sketch, Illustrator, Photoshop;UX designer, UI designer;InVision, Sketch, Flinto;Papier;5 à 10;6 à 10;Skype entreprise;Freelance;WordPress;Sublime Text;Sketch Libraries, Gitbook;Abstract
40 à 49;Adobe XD;France;Adobe XD, Figma;consultante et brand designer;Adobe XD, Webflow;Papier, MindMap Invision;15 à 20;Seulement moi;RedBooth, Gmail, Trello;Agence de communication;WordPress;Coda;;Github
40 à 49; ;France;Photoshop;concepteur web, webmaster, développeur web; ;Papier;15 à 20;Seulement moi;Slack;sarl unipersonnel;WordPress;TextMate; ;Google Drive, Dropbox
30 à 39;Papier, HTML / CSS, Sketch;Suisse;HTML / CSS, Sketch;développeur web;HTML / CSS, Sketch;Papier, Sketch;5 à 10;2 à 5;Slack;Freelance;Bootstrap, WordPress;Atom, Sublime Text;Sketch Libraries;Github, Google Drive
20 à 29;;France;Sketch;UI designer, concepteur web, interactive media designer, webdesigner;Sketch, InVision, Principle;;;;Slack;;;Brackets;Craft;Google Drive
20 à 29;Sketch, Adobe XD, Papier;France;Photoshop, Sketch, Adobe XD;directeur artistique web;Axure, Adobe XD, InVision, Sketch;Illustrator, Papier;;;Slack, Basecamp;;Bootstrap, Drupal, WordPress;Sublime Text, Dreamweaver, Atom;Craft, Sketch Libraries, Zeplin;Google Drive, Github
30 à 39;Papier, Balsamiq;New Zealand;Figma, Photoshop;webdesigner, directeur artistique web, UX designer, UI designer, graphiste web;Figma, HTML / CSS;Papier;5 à 10;2 à 5;Slack;Agence de communication;Personal CMS, Twig,  Symfony;Atom;Figma;Github
30 à 39;Papier, Sketch;France;Sketch;directeur artistique web, UX designer, UI designer;InVision, Sketch;Papier;15 à 20;2 à 5;Slack;Agence de design ;;;Sketch Libraries;Dropbox
20 à 29;Papier;Belgique;Photoshop, Illustrator, InDesign;design textile, graphiste, illustratrice;;Papier;1 à 5;Seulement moi;;Freelance;;;;Dropbox, we transfer
30 à 39;Figma, Illustrator;France;Figma, Illustrator, InDesign;directeur artistique web, développeur web;Figma, Marvel;Papier;10 à 15;2 à 5;E-mail;Freelance;WordPress;Sublime Text;Illustrator;finder
40 à 49;Papier;France;Illustrator;graphiste;Illustrator;Illustrator;10 à 15;Seulement moi;ma voix;Freelance;WordPress;un developpeur bien sur !; ;wetransfer
20 à 29;Papier;France;HTML / CSS;graphiste web, directeur artistique web;HTML / CSS;Papier;1 à 5;Seulement moi;Rocketchat;Freelance;kirby;notepad; ;Github
